,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
121,OS-0006,-1,Zak,['DIR'],2022-04-10,2022-04-09,2022-04-10,bb,130000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,-1,2,130000.0
122,OS-0006,-1,Zak,['DIR'],2022-04-10,2022-04-09,2022-04-10,bb,150000.0,COP,SUPT,SUPT,1,CO,3,0,0,1,[],GRP,1,-1,3,150000.0
123,OS-0006,-1,Zak,['DIR'],2022-04-10,2022-04-09,2022-04-10,bb,150000.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],GRP,1,-1,2,150000.0
124,OS-0006,-1,Zak,['DIR'],2022-04-10,2022-04-10,2022-04-11,bb,150000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,0,2,150000.0
125,VH-0001,2,Booking,['WEB'],2022-04-10,2022-04-10,2022-04-12,nb,312228.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],GRP,2,0,2,156114.0
126,VH-0001,2,Booking,['WEB'],2022-04-10,2022-04-12,2022-04-13,nb,150000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],GRP,1,2,2,150000.0
127,BB-0005,-1,Zak,['DIR'],2022-04-11,2022-04-12,2022-04-13,bb,260000.0,COP,SUPD,SUPD,1,,2,0,0,4,[],IND,1,1,2,260000.0
128,JC-0035,2,Booking,['WEB'],2022-04-11,2022-04-22,2022-04-25,nb,370440.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,3,11,2,123480.0
129,JJ-0005,-1,Zak,"['DIR', 'COR']",2022-04-11,2022-04-10,2022-04-11,bb,130000.0,COP,STDT,STDT,1,CO,3,0,0,1,[],IND,1,-1,3,130000.0
130,AA-0021,-1,Zak,['DIR'],2022-04-11,2022-04-16,2022-04-17,nb,115000.0,COP,SUPD,SUPD,1,SE,2,0,0,1,[],INDA,1,5,2,115000.0
131,AC-0021,2,Booking,['WEB'],2022-04-12,2022-04-16,2022-04-17,bb,234803.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,4,2,234803.0
132,SD-0007,2,Booking,['WEB'],2022-04-12,2022-04-21,2022-04-26,bb,832413.0,COP,SUPD,SUPD,1,CH,2,0,0,1,[],IND,5,9,2,166482.6
133,SR-0004,2,Booking,['WEB'],2022-04-13,2022-04-21,2022-04-23,bb,347429.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,2,8,2,173714.5
134,PA-0002,2,Booking,['WEB'],2022-04-13,2022-04-13,2022-04-15,nb,381137.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,2,0,2,190568.5
135,PS-0007,2,Booking,['WEB'],2022-04-13,2022-04-23,2022-04-25,nb,240660.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,2,10,2,120330.0
136,AP-0010,-1,Zak,['DIR'],2022-04-13,2022-04-24,2022-04-26,bb,300000.0,COP,SUPT,SUPT,1,,3,0,0,4,[],IND,2,11,3,150000.0
137,AP-0011,2,Booking,['WEB'],2022-04-13,2022-04-24,2022-04-26,nb,232848.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,2,11,2,116424.0
138,BK-0004,-1,Zak,['DIR'],2022-04-13,2022-04-15,2022-04-18,bb,1105230.0,COP,SUPD,SUPD,1,LV,2,0,0,4,[],INDA,3,2,2,368410.0
139,YR-0010,2,Booking,['WEB'],2022-04-14,2022-04-30,2022-05-07,bb,919800.0,COP,STDD,STDD,1,CR,2,0,0,4,[],IND,7,16,2,131400.0
140,EM-0012,2,Booking,['WEB'],2022-04-14,2022-04-30,2022-05-01,bb,137970.0,COP,STDT,STDT,1,CR,2,0,0,1,[],GRP,1,16,2,137970.0
141,EM-0012,2,Booking,['WEB'],2022-04-14,2022-04-30,2022-05-07,bb,919800.0,COP,SUPD,SUPD,1,CR,2,0,0,1,[],GRP,7,16,2,131400.0
